Inventory Type,Sectors Sector,Category Full,Category Label,Source Full,Source Label,Source Units,CY 2005 Consumed,CY 2005 tCO2e (100 yr GWP),CY 2005 Source MMBtu,CY 2005 tCO2e (20 yr GWP),CY 2006 Consumed,CY 2006 tCO2e (100 yr GWP),CY 2006 Source MMBtu,CY 2006 tCO2e (20 yr GWP),CY 2007 Consumed,CY 2007 tCO2e (100 yr GWP),CY 2007 Source MMBtu,CY 2007 tCO2e (20 yr GWP),CY 2008 Consumed,CY 2008 tCO2e (100 yr GWP),CY 2008 Source MMBtu,CY 2008 tCO2e (20 yr GWP),CY 2009 Consumed,CY 2009 tCO2e (100 yr GWP),CY 2009 Source MMBtu,CY 2009 tCO2e (20 yr GWP),CY 2010 Consumed,CY 2010 tCO2e (100 yr GWP),CY 2010 Source MMBtu,CY 2010 tCO2e (20 yr GWP),CY 2011 Consumed,CY 2011 tCO2e (100 yr GWP),CY 2011 Source MMBtu,CY 2011 tCO2e (20 yr GWP),CY 2012 Consumed,CY 2012 tCO2e (100 yr GWP),CY 2012 Source MMBtu,CY 2012 tCO2e (20 yr GWP),CY 2013 Consumed,CY 2013 tCO2e (100 yr GWP),CY 2013 Source MMBtu,CY 2013 tCO2e (20 yr GWP),CY 2014 Consumed,CY 2014 tCO2e (100 yr GWP),CY 2014 Source MMBtu,CY 2014 tCO2e (20 yr GWP),CY 2015 Consumed,CY 2015 tCO2e (100 yr GWP),CY 2015 Source MMBtu,CY 2015 tCO2e (20 yr GWP),CY 2016 Consumed,CY 2016 tCO2e (100 yr GWP),CY 2016 Source MMBtu,CY 2016 tCO2e (20 yr GWP),CY 2017 Consumed,CY 2017 tCO2e (100 yr GWP),CY 2017 Source MMBtu,CY 2017 tCO2e (20 yr GWP),CY 2018 Consumed,CY 2018 tCO2e (100 yr GWP),CY 2018 Source MMBtu,CY 2018 tCO2e (20 yr GWP),CY 2019 Consumed,CY 2019 tCO2e (100 yr GWP),CY 2019 Source MMBtu,CY 2019 tCO2e (20 yr GWP),CY 2020 Consumed,CY 2020 tCO2e (100 yr GWP),CY 2020 Source MMBtu,CY 2020 tCO2e (20 yr GWP),CY 2021 Consumed,CY 2021 tCO2e (100 yr GWP),CY 2021 Source MMBtu,CY 2021 tCO2e (20 yr GWP),CY 2022 Consumed,CY 2022 tCO2e (100 yr GWP),CY 2022 Source MMBtu,CY 2022 tCO2e (20 yr GWP),CY 2023 Consumed,CY 2023 tCO2e (100 yr GWP),CY 2023 Source MMBtu,CY 2023 tCO2e (20 yr GWP),2005 - 2022 % change Consumed,2005 - 2022 % change tCO2e,2005 - 2022 % change Source MMBtu,2005 - 2022 % change tCO2e 20 yr GWP
GPC,Stationary Energy,Residential (small and large residential),Residential,#2 fuel oil,#2 fuel oil,gallon,146645995.87,1517233.2,20439518.9,1549279.75,123651982.44,1279331.85,17234613.31,1306353.52,142240147.96,1471649.29,19825431.82,1502733.03,131107009.25,1356463.27,18273694.95,1385114.09,146483621.5,1515553.24,20416887.16,1547564.31,141176974.44,1460649.45,19677246.7,1491500.85,138166876.57,1429506.28,19257699.26,1459699.89,125207366.44,1295424.21,17451402.73,1322785.78,160324833.76,1658757.6,22346075.33,1693793.39,122982866.62,1272409.02,17141351.95,1299284.47,160363033.9,1659152.83,22351399.66,1694196.97,122583830.04,1268280.5,17085734.23,1295068.74,105767349.32,1094293.32,14741853.15,1117406.66,134471590.33,1391274,18742650.26,1420660.08,136255620.5,1409731.99,18991308.38,1439507.93,97015873.57,1003748.54,13522072.46,1024949.42,94453737.87,977240.1,13164961.98,997881.07,105948850.49,1096171.18,14767150.78,1119324.18,90526881.46,936611.94,12617636.74,956394.78,-38.2684259989949,-38.268425710695,-38.2684259755253,-38.2684256991031
GPC,Stationary Energy,Residential (small and large residential),Residential,#4 fuel oil,#4 fuel oil,gallon,77860780.31,856223.01,11481350.66,858049,65022633.96,715043.89,9588237.6,716568.8,75099917.57,825862.23,11074233.85,827623.47,64175239.61,705725.23,9463280.83,707230.26,77040974.01,847207.73,11360462.03,849014.49,76167717.24,837604.66,11231691.58,839390.94,73887257.69,812526.79,10895415.02,814259.6,73319446.2,806282.66,10811685.54,808002.15,87782041.07,965325.59,12944339.78,967384.25,53636327.46,589830.43,7909212.85,591088.31,94126768.83,1035097.58,13879933.33,1037305.04,68898336.48,757664.4,10159748.7,759280.2,73860750.68,812235.3,10891506.3,813967.48,65745104.32,722988.79,9694773.08,724530.64,57086798.88,627774.74,8418019.36,629113.54,37052732.59,407463.19,5463795.95,408332.15,43837331.57,482072.38,6464252.91,483100.46,40549909.74,445921.11,5979489.69,446872.09,28961810.95,318488.57,4270708.64,319167.79,-62.8030815582768,-62.8030821082465,-62.8030815670602,-62.8030811760168
GPC,Stationary Energy,Residential (small and large residential),Residential,#6 fuel oil,#6 fuel oil,gallon,193846082.8,2191841.89,29367681.54,2196491.29,163766139.67,1851724.21,24810570.16,1855652.14,203141455.35,2296945.83,30775930.48,2301818.18,177479668.92,2006784.8,26888169.84,2011041.65,202597911.87,2290799.91,30693583.65,2295659.23,192084422.87,2171922.58,29100790.06,2176529.72,180323582.12,2038941.28,27319022.69,2043266.34,140702305.15,1590938.55,21316399.23,1594313.3,104423928.76,1180734.42,15820225.21,1183239.02,27329254.41,309015.3,4140382.04,309670.79,12693209.12,143523.7,1923021.18,143828.15,1699774.58,19219.56,257515.85,19260.33,939792.25,10626.35,142378.53,10648.89,4255989.21,48123,644782.37,48225.08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-100,-100,-100,-100
GPC,Stationary Energy,Residential (small and large residential),Residential,Biofuel,Biofuel,gallon,719495.07,4.77,93016.32,10.14,1490342.87,9.89,192671.53,21.01,1745069.88,11.58,225602.63,24.6,1421342.93,9.43,183751.21,20.04,2148484.42,14.26,277756.07,30.29,1433903.4,9.52,185375.03,20.22,2338460.09,15.52,302316.12,32.97,7018076.62,46.57,907296.95,98.94,10050483.63,66.7,1299326.52,141.69,6760601.49,44.86,874010.56,95.31,8794187.26,58.36,1136912.53,123.98,7388132.72,49.03,955137.8,104.16,11668446.98,77.43,1508496.83,164.5,14552092.1,96.57,1881294.47,205.16,16147022.79,107.15,2087487.11,227.64,14509638.81,96.29,1875806.11,204.56,12062335.43,80.05,1559418.72,170.05,12529004.93,83.14,1619749.76,176.63,10860701.64,72.07,1404071.51,153.11,1409.4893756534,1410.90146750524,1409.48942078121,1409.96055226824
GPC,Stationary Energy,Residential (small and large residential),Residential,Electricity,Electricity,kWh,14168364733.94,7062392.25,123273274.2,7072258.42,13052549911.67,5484899.71,113565015.76,5491717.58,13631341906.22,5783449.99,118600853.39,5790642.84,14479576692,5513528.76,125981004.97,5520314.03,15017935746,5026654.97,130665051.75,5032723.57,16246085145.17,5550464.21,141350688.41,5556983.41,16163973377.1,5008080.66,140636266.76,5013439.31,15962572177.07,5197671.05,138883955.48,5203579.95,15658135234.5,4669269.48,136235171.42,4674446.04,15056362253.46,4918186.75,130999385.42,4923891.43,15705500653.28,5011573.3,136647278.98,5017412.85,15452546914.5,4959918.07,134446429.68,4965705.5,15430213717.66,4325717.27,134252117.47,4330435.89,15882302313.65,4883633.61,138185559.51,4889074.98,15414984037.68,4463262.21,134119610.12,4467911.41,14577247613.58,4598867.64,126830800.59,4225100.12,14622450805.55,4939971.32,127224095.48,4238201.91,14487223970.25,5355894.6,126047540.88,5361386.05,14214533568.31,5257590.73,123674970.76,5260469.65,0.325858595801127,-25.5551016725246,0.325858595552743,-25.6182489722993
GPC,Stationary Energy,Residential (small and large residential),Residential,Natural gas,Natural gas,SCF,164840051823.53,8983129.56,177582187.83,8992179.12,156690514277.53,8539012.06,168802691.03,8547614.22,172612235260.26,9406682.76,185955161.05,9416159,140712584224.4,7668278.2,151589666.98,7676003.18,138210347563.96,7531916.21,148894007.43,7539503.82,156854670084.42,8547957.9,168979536.08,8556569.07,163122617151.33,8889536.18,175731995.46,8898491.45,147155810320.07,8019408.48,158530954.46,8027487.19,75385413471.51,4108206.28,81212705.93,4112344.87,180249523909.04,9822884.72,194182812.11,9832780.24,177354752086.9,9665131.13,191064274.42,9674867.73,190288200910.23,10369952.84,204997478.84,10380399.47,181809058825.62,9907873.2,195862899.07,9917854.33,193033693881.09,10519571.32,207955198.42,10530168.68,188512555543.6,10273187.2,203084576.09,10283536.35,179289161755.73,9770548.79,193148213.96,9780391.59,177712778152.27,9684642.13,191449975.9,9694398.39,182986680771.08,9972048.93,197131551.19,9982094.71,228307193527.52,12441837.27,245955339.59,12454371.1,38.5022577958996,38.5022578924042,38.5022577970792,38.5022577263786
GPC,Stationary Energy,Residential (small and large residential),Residential,Steam,Steam,kg,1998982583.67,332184.37,6314357.94,332750.46,1977435937.02,263348.01,6246296.7,263783.41,1956570687.99,270334.63,6180387.84,270783.03,2815676055.57,372766.47,8894117.74,373356.24,2699100715.2,385545.34,8525881.2,386165.87,2684576093.92,329461.96,8480001.03,329959.76,2630897883.47,323152.48,8310443.06,323601,2487032107.53,255848.71,7856001.88,256182.93,2914003579,306013.71,9204713.33,306397.73,2914003579,322747.39,9204713.33,323116.47,2671762179.88,286275.79,8439524.62,286607.28,2733212560.51,270735.04,8633633.21,271021.73,2713815385.9,250272.68,8572361.69,250537.58,2987013020.16,315407.28,9435334.52,315749.64,2800861783.12,285366.27,8847322.62,285665.72,2405299009.16,201181.7,7597824.52,245321.45,2259731654.32,190070.66,7138008.42,230474.73,2269367374.32,215190.85,7168445.59,215421.59,2061282884.63,177882.62,6511151.25,178062.73,3.11660048811535,-46.4506352300682,3.11660048210697,-46.4876081613832
CLCPA Addition,Stationary Energy,Residential (small and large residential),Residential,Upstream Electricity,Upstream Electricity,kWh,14168364733.94,0,123273274.2,4456021.92,13052549911.67,0,113565015.76,4914887.28,13631341906.22,0,118600853.39,4602297.19,14479576692,0,125981004.97,4888683.41,15017935746,0,130665051.75,4738704.45,16246085145.17,0,141350688.41,4984262.03,16163973377.1,0,140636266.76,5285034.33,15962572177.07,0,138883955.48,5096071.92,15658135234.5,0,136235171.42,4447711.9,15056362253.46,0,130999385.42,4003023.64,15705500653.28,0,136647278.98,3839976.28,15452546914.5,0,134446429.68,3768715.62,15430213717.66,0,134252117.47,3269048.97,15882302313.65,0,138185559.51,3474193.93,15414984037.68,0,134119610.12,3332479.84,14577247613.58,0,126830800.59,3151374.25,14622450805.55,0,127224095.48,3161146.47,14487223970.25,0,126047540.88,4130793.39,14214533568.31,0,123674970.76,4093715.58,0.325858595801127,0,0.325858595552743,-8.13071269631456
CLCPA Addition,Stationary Energy,Residential (small and large residential),Residential,Upstream Steam,Upstream Steam,kg,1998982583.67,0,6314357.94,94468.23,1977435937.02,0,6246296.7,208052.11,1956570687.99,0,6180387.84,202445.35,2815676055.57,0,8894117.74,303381.65,2699100715.2,0,8525881.2,271586.66,2684576093.92,0,8480001.03,262811.8,2630897883.47,0,8310443.06,291844.79,2487032107.53,0,7856001.88,229890.97,2914003579,0,9204713.33,296142.28,2914003579,0,9204713.33,279229.67,2671762179.88,0,8439524.62,226973.5,2733212560.51,0,8633633.21,232356.97,2713815385.9,0,8572361.69,197198.52,2987013020.16,0,9435334.52,231680.1,2800861783.12,0,8847322.62,212347.91,2405299009.16,0,7597824.52,182358.23,2259731654.32,0,7138008.42,171322.01,2269367374.32,0,7168445.59,154878.28,2061282884.63,0,6511151.25,136902.05,3.11660048811535,0,3.11660048210697,44.9186144378909
CLCPA Addition,Stationary Energy,Residential (small and large residential),Residential,Upstream Natural gas,Upstream Natural gas,SCF,164840051823.53,0,177582187.83,7128793.77,156690514277.53,0,168802691.03,6776352.89,172612235260.26,0,185955161.05,7464915.32,140712584224.4,0,151589666.98,6085359.61,138210347563.96,0,148894007.43,5977146.05,156854670084.42,0,168979536.08,6783452.1,163122617151.33,0,175731995.46,7054520.33,147155810320.07,0,158530954.46,6364008.09,75385413471.51,0,81212705.93,3260172.88,180249523909.04,0,194182812.11,7795203.1,177354752086.9,0,191064274.42,7670013.68,190288200910.23,0,204997478.84,8229343.09,181809058825.62,0,195862899.07,7862647.89,193033693881.09,0,207955198.42,8348076.69,188512555543.6,0,203084576.09,8152552.23,179289161755.73,0,193148213.96,7753670.58,177712778152.27,0,191449975.9,7685497.13,182986680771.08,0,197131551.19,7913576.2,228307193527.52,0,245955339.59,9873540.33,38.5022577958996,0,38.5022577970792,38.5022578651479
CLCPA Addition,Stationary Energy,Residential (small and large residential),Residential,Downstream Natural gas,Downstream Natural gas,SCF,164840051823.53,0,177582187.83,1015584.67,156690514277.53,0,168802691.03,965375.12,172612235260.26,0,185955161.05,1063469.34,140712584224.4,0,151589666.98,866934.6,138210347563.96,0,148894007.43,851518.24,156854670084.42,0,168979536.08,966386.49,163122617151.33,0,175731995.46,1005003.51,147155810320.07,0,158530954.46,906631.51,75385413471.51,0,81212705.93,464451.87,180249523909.04,0,194182812.11,1110522.91,177354752086.9,0,191064274.42,1092688.13,190288200910.23,0,204997478.84,1172371.51,181809058825.62,0,195862899.07,1120131.25,193033693881.09,0,207955198.42,1189286.58,188512555543.6,0,203084576.09,1161431.7,179289161755.73,0,193148213.96,1104606.09,177712778152.27,0,191449975.9,1094893.94,182986680771.08,0,197131551.19,1127386.62,228307193527.52,0,245955339.59,1406607.7,38.5022577958996,0,38.5022577970792,38.5022580145878
GPC,Stationary Energy,"Commercial and Institutional (commercial, institutional, and streetlights)",Commercial and Institutional,#2 fuel oil,#2 fuel oil,gallon,83099254.7,859764,11582374.12,877923.68,70069336.17,724953.47,9766264.08,740265.72,80602611.85,833933.16,11234392.04,851547.25,74293844.1,768661.2,10355075.99,784896.63,83007242.71,858812.02,11569549.49,876951.6,80000147.89,827699.93,11150420.61,845182.36,78294428.69,810052.17,10912677.47,827161.85,70950718.92,734072.46,9889111.2,749577.32,90850582.83,939961.03,12662754.24,959814.6,69690171.19,721030.54,9713416.06,736259.93,90872229.54,940184.99,12665771.35,960043.3,69464050.85,718691.05,9681899.41,733871.03,59934728.17,620098.48,8353702.41,633196.02,76200436.76,788387.24,10620816.88,805039.33,77211385.45,798846.75,10761722.9,815719.76,54975567.11,568789.86,7662494.54,580803.67,53523692.71,553768.44,7460132.29,565464.97,60037578.66,621162.6,8368037.71,634282.61,51298477.91,530745.85,7149981.85,541956.11,-38.26842599829,-38.2684259866661,-38.2684260072925,-38.2684255651926
GPC,Stationary Energy,"Commercial and Institutional (commercial, institutional, and streetlights)",Commercial and Institutional,#4 fuel oil,#4 fuel oil,gallon,13896492.65,152817.59,2049176.81,153143.49,11605156.68,127620.12,1711296.4,127892.28,13403737.39,147398.84,1976515.12,147713.18,11453914.82,125956.94,1688994.28,126225.55,13750174.66,151208.55,2027600.76,151531.02,13594316.91,149494.61,2004617.97,149813.42,13187303.4,145018.74,1944599.76,145328.01,13085961.13,143904.3,1929655.83,144211.19,15667226.6,172290.08,2310289.23,172657.51,9572943.23,105272.18,1411626.21,105496.69,16799625.51,184742.89,2477272.78,185136.88,12296887.12,135226.97,1813298.97,135515.36,13182572.47,144966.72,1943902.14,145275.88,11734102.27,129038.12,1730310.72,129313.3,10188778.97,112044.43,1502437.35,112283.38,6613124.4,72723.51,975171.32,72878.6,7824030.96,86039.66,1153731.61,86223.15,7237296.11,79587.43,1067211.68,79757.16,5169067.04,56843.43,762230.63,56964.66,-62.8030815387075,-62.8030843831525,-62.8030813993059,-62.803080953686
GPC,Stationary Energy,"Commercial and Institutional (commercial, institutional, and streetlights)",Commercial and Institutional,#6 fuel oil,#6 fuel oil,gallon,23786850.49,268960.89,3603707.85,269531.42,20095741.03,227225.06,3044504.77,227707.05,24927485.55,281858.2,3776514.06,282456.08,21778528.04,246252.54,3299447,246774.9,24860787.33,281104.03,3766409.28,281700.32,23570677.22,266516.59,3570957.6,267081.94,22127504.6,250198.46,3352316.95,250729.19,17265578.18,195224.05,2615735.09,195638.17,12813859.04,144887.91,1941299.65,145195.25,3353572.48,37919.26,508066.23,37999.7,1557583.54,17611.79,235973.91,17649.15,208579.32,2358.43,31599.77,2363.44,115321.9,1303.96,17471.27,1306.73,522252.38,5905.17,79121.24,5917.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-100,-100,-100,-100
GPC,Stationary Energy,"Commercial and Institutional (commercial, institutional, and streetlights)",Commercial and Institutional,Biofuel,Biofuel,gallon,181117.2,1.2,23414.83,2.55,375161.32,2.49,48500.86,5.29,439283.29,2.92,56790.54,6.19,357792.09,2.37,46255.36,5.04,540834.11,3.59,69919.03,7.62,360953.92,2.4,46664.12,5.09,588656.34,3.91,76101.49,8.3,1766647.76,11.72,228392.22,24.91,2529990.1,16.79,327077.12,35.67,1701834.01,11.29,220013.1,23.99,2213744.88,14.69,286192.94,31.21,1859801.31,12.34,240435.11,26.22,2937277.09,19.49,379731.18,41.41,3663171.87,24.31,473574.86,51.64,4064660.9,26.97,525479.36,57.3,3652485.18,24.24,472193.28,51.49,3036429.92,20.15,392549.66,42.81,3153903.79,20.93,407736.68,44.46,2733944.82,18.14,353444.39,38.54,1409.48933618673,1411.66666666667,1409.48945604132,1411.37254901961
GPC,Stationary Energy,"Commercial and Institutional (commercial, institutional, and streetlights)",Commercial and Institutional,Electricity,Electricity,kWh,26226076079.28,13072703.86,228182597.54,13090966.45,27133407032.74,11401911.31,236076921.23,11416084.17,28048899119.83,11900472.2,244042251.68,11915272.76,26155533959.86,9959496.18,227568838.77,9971752.92,24621412737.13,8241035.83,214221063.66,8250985.11,25179409288.11,8602528.47,219075968.45,8612632.43,24932913193.56,7724959.53,216931304.53,7733225.26,24072492031.06,7838391.8,209445124.17,7847302.77,24008812375.15,7159448.64,208891072.95,7167385.92,24163732596.36,7893125.01,210238971.83,7902280.37,24309477657.3,7757073.9,211507041.31,7766112.54,24148998628.73,7751282.38,210110777.47,7760326.89,24400061835.53,6840330.98,212295178.01,6847792.61,24812310378.99,7629513.05,215881987.68,7638013.9,24252105992.55,7021966.94,211007873.4,7029281.43,20264309990.41,6393036.73,176311655.5,5873450.25,20870055433.77,7050628.97,181582004.31,6049020.78,21523343172.04,7957132.28,187265999.6,7965290.8,21949763750.82,8118653.62,190976114.49,8123099.18,-16.3055743281341,-37.8961406381923,-16.3055743299958,-37.9488198138343
GPC,Stationary Energy,"Commercial and Institutional (commercial, institutional, and streetlights)",Commercial and Institutional,Natural gas,Natural gas,SCF,55128302373.38,3004274.01,59389720.15,3007300.49,54675650135.08,2979606.25,58902077.89,2982607.89,57951330714.44,3158117.86,62430968.58,3161299.33,100313121212.27,5466667.57,108067325.48,5472174.66,103526901941.59,5641805.88,111529531.46,5647489.4,88813852860.94,4840003.01,95679163.69,4844878.8,92718312266.9,5052780.58,99885437.81,5057870.72,85219500120.19,4644125.03,91806967.48,4648803.5,99401442985.14,5416984.71,107085174.53,5422441.75,106312157787.33,5793591.28,114530087.58,5799427.72,104250511239.56,5681239.72,112309075.76,5686962.97,101377977238.62,5524698,109214494.88,5530263.55,111742550505.56,6089526.17,120380249.66,6095660.72,111351353688.42,6068207.49,119958813.33,6074320.57,122055394359.6,6651535.29,131490276.34,6658236.01,110565351429.25,6025373.48,119112053.09,6031443.41,111599520100.11,6081731.58,120226163,6087858.28,116296269696.02,6337685.82,125285971.34,6344070.37,74392294420.14,4054085.23,80142818.78,4058169.29,34.9439239327313,34.943923773451,34.9439239275486,34.9439240772378
GPC,Stationary Energy,"Commercial and Institutional (commercial, institutional, and streetlights)",Commercial and Institutional,Steam,Steam,kg,7457786325.72,1239310.47,23557550.06,1241422.44,7434553402.9,990107.85,23484162.23,991744.81,7495264997.04,1035602.59,23675937.16,1037320.35,6150175508.98,814219.82,19427087.49,815508.01,5864620230.3,837714.94,18525079.51,839063.22,6065635918.11,744399.2,19160045.03,745523.95,5764928667.44,708104.64,18210175.21,709087.45,4951330051.89,509358.68,15640191.4,510024.08,5463998032.24,573801.05,17259599.77,574521.11,5463998032.24,605178.09,17259599.77,605870.14,5318470946.78,569867.14,16799910.87,570527.01,4861229054.43,481523.12,15355581.64,482033.02,4671669504.48,430829.33,14756803.62,431285.34,5295511624.44,559168.28,16727387.29,559775.22,4789020634.25,487930.16,15127490.71,488442.18,3936440178.23,329247.94,12434371.61,401485.72,4156015472.29,349570.98,13127962.95,423880.67,4317865701.3,409437.97,13639213.16,409877,3793819497.71,327395.4,11983863.42,327726.91,-49.1294154590339,-73.5824550889173,-49.1294154550127,-73.6006938943362
CLCPA Addition,Stationary Energy,"Commercial and Institutional (commercial, institutional, and streetlights)",Commercial and Institutional,Upstream Electricity,Upstream Electricity,kWh,26226076079.28,0,228182597.54,8248232.73,27133407032.74,0,236076921.23,10216979.68,28048899119.83,0,244042251.68,9470041.2,26155533959.86,0,227568838.77,8830791.66,24621412737.13,0,214221063.66,7768950.42,25179409288.11,0,219075968.45,7724985.59,24932913193.56,0,216931304.53,8152160.32,24072492031.06,0,209445124.17,7685174.38,24008812375.15,0,208891072.95,6819731.66,24163732596.36,0,210238971.83,6424393.3,24309477657.3,0,211507041.31,5943638.45,24148998628.73,0,210110777.47,5889689.82,24400061835.53,0,212295178.01,5169403.26,24812310378.99,0,215881987.68,5427599.62,24252105992.55,0,211007873.4,5242928.18,20264309990.41,0,176311655.5,4380828.7,20870055433.77,0,181582004.31,4511781.44,21523343172.04,0,187265999.6,6137026.93,21949763750.82,0,190976114.49,6321423.73,-16.3055743281341,0,-16.3055743299958,-23.3602647145481
CLCPA Addition,Stationary Energy,"Commercial and Institutional (commercial, institutional, and streetlights)",Commercial and Institutional,Upstream Steam,Upstream Steam,kg,7457786325.72,0,23557550.06,352441.22,7434553402.9,0,23484162.23,782212.2,7495264997.04,0,23675937.16,775531.18,6150175508.98,0,19427087.49,662665.15,5864620230.3,0,18525079.51,590104.92,6065635918.11,0,19160045.03,593807.24,5764928667.44,0,18210175.21,639501.99,4951330051.89,0,15640191.4,457680.48,5463998032.24,0,17259599.77,555291.3,5463998032.24,0,17259599.77,523578.75,5318470946.78,0,16799910.87,451818.65,4861229054.43,0,15355581.64,413264.78,4671669504.48,0,14756803.62,339465.36,5295511624.44,0,16727387.29,410732.94,4789020634.25,0,15127490.71,363080.57,3936440178.23,0,12434371.61,298442.01,4156015472.29,0,13127962.95,315089.16,4317865701.3,0,13639213.16,294682.84,3793819497.71,0,11983863.42,251970.1,-49.1294154590339,0,-49.1294154550127,-28.5071990160515
