Inventory Type,Sectors Sector,Category Full,Category Label,Source Full,Source Label,Source Units,CY 2005 Consumed,CY 2005 tCO2e (100 yr GWP),CY 2005 Source MMBtu,CY 2005 tCO2e (20 yr GWP),CY 2006 Consumed,CY 2006 tCO2e (100 yr GWP),CY 2006 Source MMBtu,CY 2006 tCO2e (20 yr GWP),CY 2007 Consumed,CY 2007 tCO2e (100 yr GWP),CY 2007 Source MMBtu,CY 2007 tCO2e (20 yr GWP),CY 2008 Consumed,CY 2008 tCO2e (100 yr GWP),CY 2008 Source MMBtu,CY 2008 tCO2e (20 yr GWP),CY 2009 Consumed,CY 2009 tCO2e (100 yr GWP),CY 2009 Source MMBtu,CY 2009 tCO2e (20 yr GWP),CY 2010 Consumed,CY 2010 tCO2e (100 yr GWP),CY 2010 Source MMBtu,CY 2010 tCO2e (20 yr GWP),CY 2011 Consumed,CY 2011 tCO2e (100 yr GWP),CY 2011 Source MMBtu,CY 2011 tCO2e (20 yr GWP),CY 2012 Consumed,CY 2012 tCO2e (100 yr GWP),CY 2012 Source MMBtu,CY 2012 tCO2e (20 yr GWP),CY 2013 Consumed,CY 2013 tCO2e (100 yr GWP),CY 2013 Source MMBtu,CY 2013 tCO2e (20 yr GWP),CY 2014 Consumed,CY 2014 tCO2e (100 yr GWP),CY 2014 Source MMBtu,CY 2014 tCO2e (20 yr GWP),CY 2015 Consumed,CY 2015 tCO2e (100 yr GWP),CY 2015 Source MMBtu,CY 2015 tCO2e (20 yr GWP),CY 2016 Consumed,CY 2016 tCO2e (100 yr GWP),CY 2016 Source MMBtu,CY 2016 tCO2e (20 yr GWP),CY 2017 Consumed,CY 2017 tCO2e (100 yr GWP),CY 2017 Source MMBtu,CY 2017 tCO2e (20 yr GWP),CY 2018 Consumed,CY 2018 tCO2e (100 yr GWP),CY 2018 Source MMBtu,CY 2018 tCO2e (20 yr GWP),CY 2019 Consumed,CY 2019 tCO2e (100 yr GWP),CY 2019 Source MMBtu,CY 2019 tCO2e (20 yr GWP),CY 2020 Consumed,CY 2020 tCO2e (100 yr GWP),CY 2020 Source MMBtu,CY 2020 tCO2e (20 yr GWP),CY 2021 Consumed,CY 2021 tCO2e (100 yr GWP),CY 2021 Source MMBtu,CY 2021 tCO2e (20 yr GWP),CY 2022 Consumed,CY 2022 tCO2e (100 yr GWP),CY 2022 Source MMBtu,CY 2022 tCO2e (20 yr GWP),CY 2023 Consumed,CY 2023 tCO2e (100 yr GWP),CY 2023 Source MMBtu,CY 2023 tCO2e (20 yr GWP),2005 - 2022 % change Consumed,2005 - 2022 % change tCO2e,2005 - 2022 % change Source MMBtu,2005 - 2022 % change tCO2e 20 yr GWP
CLCPA Addition,Stationary Energy,"Commercial and Institutional (commercial, institutional, and streetlights)",Commercial and Institutional,Upstream Natural gas,Upstream Natural gas,SCF,55128302373.38,0,59389720.15,2384118.99,54675650135.08,0,58902077.89,2364543.26,57951330714.44,0,62430968.58,2506205.75,100313121212.27,0,108067325.48,4338214.81,103526901941.59,0,111529531.46,4477200.33,88813852860.94,0,95679163.69,3840909.02,92718312266.9,0,99885437.81,4009764.13,85219500120.19,0,91806967.48,3685465,99401442985.14,0,107085174.53,4298787.7,106312157787.33,0,114530087.58,4597653.54,104250511239.56,0,112309075.76,4508494.06,101377977238.62,0,109214494.88,4384266.35,111742550505.56,0,120380249.66,4832500.29,111351353688.42,0,119958813.33,4815582.3,122055394359.6,0,131490276.34,5278497.1,110565351429.25,0,119112053.09,4781590.27,111599520100.11,0,120226163,4826314.69,116296269696.02,0,125285971.34,5029433.77,74392294420.14,0,80142818.78,3217223.72,34.9439239327313,0,34.9439239275486,34.9439240866078
CLCPA Addition,Stationary Energy,"Commercial and Institutional (commercial, institutional, and streetlights)",Commercial and Institutional,Downstream Natural gas,Downstream Natural gas,SCF,55128302373.38,0,59389720.15,339647.18,54675650135.08,0,58902077.89,336858.38,57951330714.44,0,62430968.58,357039.95,100313121212.27,0,108067325.48,618032.25,103526901941.59,0,111529531.46,637832.46,88813852860.94,0,95679163.69,547184.9,92718312266.9,0,99885437.81,571240.4,85219500120.19,0,91806967.48,525039.98,99401442985.14,0,107085174.53,612415.37,106312157787.33,0,114530087.58,654992.5,104250511239.56,0,112309075.76,642290.63,101377977238.62,0,109214494.88,624592.86,111742550505.56,0,120380249.66,688449.32,111351353688.42,0,119958813.33,686039.15,122055394359.6,0,131490276.34,751987.07,110565351429.25,0,119112053.09,681196.56,111599520100.11,0,120226163,687568.11,116296269696.02,0,125285971.34,716504.93,74392294420.14,0,80142818.78,458333.23,34.9439239327313,0,34.9439239275486,34.9439232794454
GPC,Stationary Energy,Manufacturing and Construction (Industrial),Manufacturing and Construction,#2 fuel oil,#2 fuel oil,gallon,19157830.89,198211.32,2670218.47,202397.89,16153893.29,167131.9,2251529.65,170662.01,18582250.98,192256.24,2589994.14,196317.02,17127817.89,177208.34,2387275.26,180951.29,19136618.3,197991.85,2667261.86,202173.78,18443358,190819.22,2570635.24,194849.65,18050118.86,186750.68,2515825.57,190695.17,16357088.63,169234.2,2279851.01,172808.72,20944834.08,216700.07,2919290.97,221277.15,16066480.01,166227.5,2239345.98,169738.51,20949824.55,216751.7,2919986.55,221329.87,16014349.87,165688.15,2232080.09,169187.76,13817445.06,142958.46,1925875.49,145977.99,17567366.71,181756.02,2448539.57,185595.01,17800432.39,184167.37,2481024.27,188057.3,12674152.39,131129.7,1766523.36,133899.38,12339435.02,127666.63,1719870.45,130363.17,13841156.37,143203.79,1929180.38,146228.5,11826430.55,122358.97,1648367.89,124943.4,-38.2684260138597,-38.2684248306303,-38.268426028826,-38.2684276007028
GPC,Stationary Energy,Manufacturing and Construction (Industrial),Manufacturing and Construction,#4 fuel oil,#4 fuel oil,gallon,2994049.18,32925.1,441502.49,32995.31,2500372.63,27496.21,368704.95,27554.85,2887883.29,31757.61,425847.27,31825.33,2467787.03,27137.87,363899.87,27195.75,2962524.44,32578.43,436853.85,32647.9,2928944.33,32209.15,431902.13,32277.84,2841251.81,31244.81,418970.99,31311.44,2819417.26,31004.7,415751.27,31070.82,3375560.16,37120.52,497760.1,37199.68,2062524.95,22681.27,304139.93,22729.64,3619539.56,39803.52,533737.3,39888.4,2649408.43,29135.14,390681.77,29197.27,2840232.52,31233.6,418820.69,31300.21,2528154.42,27801.72,372801.65,27861.02,2195208.97,24140.37,323705.51,24191.86,1424821.37,15668.54,210104.16,15701.96,1685715.53,18537.55,248575.61,18577.09,1559301.4,17147.4,229934.58,17183.97,1113694.03,12247.12,164225.32,12273.24,-62.8030816113715,-62.8030894363267,-62.8030818127436,-62.8030771646031
GPC,Stationary Energy,Manufacturing and Construction (Industrial),Manufacturing and Construction,#6 fuel oil,#6 fuel oil,gallon,1836775.17,20768.65,278271.44,20812.7,1551754.74,17545.88,235090.84,17583.1,1924852.83,21764.55,291615.2,21810.72,1681696.34,19015.15,254777,19055.49,1919702.52,21706.32,290834.93,21752.36,1820082.68,20579.9,275742.53,20623.56,1708643.65,19319.85,258859.51,19360.83,1333214.97,15074.83,201982.07,15106.81,989461.72,11187.97,149903.45,11211.7,258956.46,2928.05,39231.9,2934.26,120273.63,1359.95,18221.45,1362.83,16106.1,182.11,2440.07,182.5,8904.94,100.69,1349.1,100.9,40327.33,455.99,6109.59,456.95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-100,-100,-100,-100
GPC,Stationary Energy,Manufacturing and Construction (Industrial),Manufacturing and Construction,Biofuel,Biofuel,gallon,32152.17,0.21,4156.63,0.45,66599.14,0.44,8609.94,0.94,77982.16,0.52,10081.53,1.1,63515.73,0.42,8211.31,0.9,96009.6,0.64,12412.12,1.35,64077.02,0.43,8283.88,0.9,104499.06,0.69,13509.64,1.47,313617.69,2.08,40544.49,4.42,449127.25,2.98,58063.17,6.33,302111.86,2,39057.02,4.26,392986.97,2.61,50805.36,5.54,330154.43,2.19,42682.36,4.65,521429.38,3.46,67410.39,7.35,650291.2,4.32,84069.65,9.17,721564.07,4.79,93283.8,10.17,648394.08,4.3,83824.39,9.14,539031.12,3.58,69685.94,7.6,559885.24,3.72,72381.96,7.89,485333.56,3.22,62743.92,6.84,1409.48928174988,100,1409.49013984887,100
GPC,Stationary Energy,Manufacturing and Construction (Industrial),Manufacturing and Construction,Electricity,Electricity,kWh,8779889925.83,4376442,76390310.29,4382555.9,8167536611.01,3432135.45,71062469.04,3436401.68,8426375735.24,3575108.23,73314524.72,3579554.58,8840352688.22,3366226.78,76916372.6,3370369.46,8714209431.34,2916734.02,75818850.58,2920255.35,8873552676.71,3031643.38,77205232.42,3035204.15,8955689219.85,2774739.41,77919869.63,2777708.39,8920220571.8,2904567.74,77611271.11,2907869.76,8912439822.85,2657697.27,77543573.92,2660643.71,8929716904.94,2916907.46,77693894.9,2920290.82,9025316596.5,2879948.67,78525669.58,2883304.42,9006092445.97,2890751.98,78358407.94,2894125.03,8941456437.93,2506654.36,77796035.88,2509388.7,9132679086.11,2808198.56,79459787.66,2811327.47,8939368045.18,2588309.11,77777865.61,2591005.24,7358075557.36,2321344.64,64019672.19,2132680.1,7493160956.96,2531449.8,65194996.22,2171833.54,7693001278.33,2844085.53,66933726.92,2847001.6,7978124434.76,2950903.23,69414469.46,2952519.07,-9.13183989597917,-32.5730072510958,-9.1318398937217,-32.6302017049001
GPC,Stationary Energy,Manufacturing and Construction (Industrial),Manufacturing and Construction,Natural gas,Natural gas,SCF,16538490712.01,901282.2,17816916.04,902190.15,16402695040.52,893881.88,17670623.37,894782.37,17385399214.33,947435.36,18729290.57,948389.8,10781393511.8,587543.22,11614795.23,588135.11,9080206125.67,494835.25,9782106.06,495333.74,21058714673.4,1147616.49,22686553.32,1148772.6,21777624145.91,1186794.21,23461034.49,1187989.78,20024206441.51,1091239.9,21572077.6,1092339.2,110885790642.57,6042836.15,119457262.26,6048923.67,24943616289.81,1359328.24,26871757.83,1360697.62,24884990545.43,1356133.37,26808600.31,1357499.53,24888532516.4,1356326.39,26812416.08,1357692.74,26425554095.15,1440087.97,28468249.43,1441538.71,29136742367.68,1587836.99,31389012.55,1589436.57,28314142341.1,1543008.55,30502825.54,1544562.97,25680997378.54,1399512.58,27666138.48,1400922.44,25151035934.18,1370631.78,27095211.01,1372012.55,25757198324.76,1403665.23,27748229.76,1405079.28,14314567952.51,780087.22,15421084.06,780873.08,-13.446951104704,-13.4469514653679,-13.4469510583157,-13.4469512884839
GPC,Stationary Energy,Manufacturing and Construction (Industrial),Manufacturing and Construction,Steam,Steam,kg,2237335897.71,371793.14,7067265.02,372426.73,2230366020.87,297032.35,7045248.67,297523.44,2248579499.11,310680.78,7102781.15,311196.1,1845052652.7,244265.95,5828126.25,244652.4,1759386069.09,251314.48,5557523.85,251718.97,1819690775.43,223319.76,5748013.51,223657.18,1729478602.48,212431.39,5463052.57,212726.24,1485399017.5,152807.6,4692057.43,153007.22,1639199411.8,172140.31,5177879.94,172356.33,1639199411.8,181553.43,5177879.94,181761.04,1595541286.11,170960.14,5039973.27,171158.1,1458368718.22,144456.94,4606674.5,144609.91,1401500853.17,129248.8,4427041.09,129385.6,1588653489.4,167750.48,5018216.19,167932.57,1436706192.14,146379.05,4538247.22,146532.65,1180932055,98774.38,3730311.49,120445.72,1246804643.31,104871.29,3938388.89,127164.2,1295359712.07,122831.39,4091763.95,122963.1,1138145850.79,98218.62,3595159.03,98318.07,-49.1294153928815,-73.5824550178629,-49.1294154128099,-73.6006945580947
CLCPA Addition,Stationary Energy,Manufacturing and Construction (Industrial),Manufacturing and Construction,Upstream Electricity,Upstream Electricity,kWh,8779889925.83,0,76390310.29,2761319.51,8167536611.01,0,71062469.04,3075454.38,8426375735.24,0,73314524.72,2844964.61,8840352688.22,0,76916372.6,2984734.05,8714209431.34,0,75818850.58,2749649.73,8873552676.71,0,77205232.42,2722385.81,8955689219.85,0,77919869.63,2928186.28,8920220571.8,0,77611271.11,2847792.01,8912439822.85,0,77543573.92,2531589.11,8929716904.94,0,77693894.9,2374137.08,9025316596.5,0,78525669.58,2206679.2,9006092445.97,0,78358407.94,2196492.36,8941456437.93,0,77796035.88,1894339.22,9132679086.11,0,79459787.66,1997739.22,8939368045.18,0,77777865.61,1932552.36,7358075557.36,0,64019672.19,1590701.51,7493160956.96,0,65194996.22,1619904.88,7693001278.33,0,66933726.92,2193532.65,7978124434.76,0,69414469.46,2297660.5,-9.13183989597917,0,-9.1318398937217,-16.7912118942005
CLCPA Addition,Stationary Energy,Manufacturing and Construction (Industrial),Manufacturing and Construction,Upstream Steam,Upstream Steam,kg,2237335897.71,0,7067265.02,105732.37,2230366020.87,0,7045248.67,234663.66,2248579499.11,0,7102781.15,232659.35,1845052652.7,0,5828126.25,198799.55,1759386069.09,0,5557523.85,177031.48,1819690775.43,0,5748013.51,178142.17,1729478602.48,0,5463052.57,191850.6,1485399017.5,0,4692057.43,137304.14,1639199411.8,0,5177879.94,166587.39,1639199411.8,0,5177879.94,157073.62,1595541286.11,0,5039973.27,135545.59,1458368718.22,0,4606674.5,123979.43,1401500853.17,0,4427041.09,101839.61,1588653489.4,0,5018216.19,123219.88,1436706192.14,0,4538247.22,108924.17,1180932055,0,3730311.49,89532.6,1246804643.31,0,3938388.89,94526.75,1295359712.07,0,4091763.95,88404.85,1138145850.79,0,3595159.03,75591.03,-49.1294153928815,0,-49.1294154128099,-28.5072017207219
CLCPA Addition,Stationary Energy,Manufacturing and Construction (Industrial),Manufacturing and Construction,Upstream Natural gas,Upstream Natural gas,SCF,16538490712.01,0,17816916.04,715235.7,16402695040.52,0,17670623.37,709362.98,17385399214.33,0,18729290.57,751861.72,10781393511.8,0,11614795.23,466260.05,9080206125.67,0,9782106.06,392689.25,21058714673.4,0,22686553.32,910720.62,21777624145.91,0,23461034.49,941811.11,20024206441.51,0,21572077.6,865981.52,110885790642.57,0,119457262.26,4795448.22,24943616289.81,0,26871757.83,1078729.92,24884990545.43,0,26808600.31,1076194.55,24888532516.4,0,26812416.08,1076347.73,26425554095.15,0,28468249.43,1142818.89,29136742367.68,0,31389012.55,1260068.93,28314142341.1,0,30502825.54,1224494.16,25680997378.54,0,27666138.48,1110619.25,25151035934.18,0,27095211.01,1087700.15,25757198324.76,0,27748229.76,1113914.69,14314567952.51,0,15421084.06,619058.3,-13.446951104704,0,-13.4469510583157,-13.4469518230144
CLCPA Addition,Stationary Energy,Manufacturing and Construction (Industrial),Manufacturing and Construction,Downstream Natural gas,Downstream Natural gas,SCF,16538490712.01,0,17816916.04,101894.15,16402695040.52,0,17670623.37,101057.51,17385399214.33,0,18729290.57,107111.98,10781393511.8,0,11614795.23,66424.5,9080206125.67,0,9782106.06,55943.43,21058714673.4,0,22686553.32,129743.39,21777624145.91,0,23461034.49,134172.62,20024206441.51,0,21572077.6,123369.76,110885790642.57,0,119457262.26,683170.8,24943616289.81,0,26871757.83,153678.39,24884990545.43,0,26808600.31,153317.2,24888532516.4,0,26812416.08,153339.02,26425554095.15,0,28468249.43,162808.66,29136742367.68,0,31389012.55,179512.37,28314142341.1,0,30502825.54,174444.31,25680997378.54,0,27666138.48,158221.42,25151035934.18,0,27095211.01,154956.31,25757198324.76,0,27748229.76,158690.9,14314567952.51,0,15421084.06,88192.5,-13.446951104704,0,-13.4469510583157,-13.4469446970214
GPC,Stationary Energy,Fugitive natural gas,Fugitive,CH4 - natural gas distribution,Fugitive CH4,GJ,442833,206847.19,0,602006.87,426472,199204.97,0,579765,464257,216854.33,0,631131.61,471481,220228.66,0,640952.24,469628,219363.13,0,638433.19,877897.81,410065.86,0,1193453.33,913745.16,426810.14,0,1242185.8,830739.99,388038.45,0,1129344.89,940254.15,439192.49,0,1278223.3,1025278.94,478907.55,0,1393809.79,1008772.58,471197.43,0,1371370.3,1041898.42,486670.51,0,1416403.05,1053162.98,491932.18,0,1431716.59,1097743.35,512755.65,0,1492321.12,1115386.08,520996.57,0,1516305.43,1038543.86,485103.59,0,1411842.7,1035014.93,483455.23,0,1407045.32,1074730.93,502006.56,0,1461037.02,1039033.24,485332.18,0,1412508,134.633200326082,134.633199513129,0,134.633202773915
GPC,Transportation,Passenger cars (public and private),Passenger cars,Gasoline,Gasoline,VMT,17241220767.81,11130380.02,171946107.41,11141873.52,17323987851.26,11183631.24,171705220.19,11195179.57,17387033983.83,11392334.43,171259600.75,11405295.19,16774649083.69,10907038.57,164154550.71,10918875.43,16579181773.8,10698461.71,161203766.88,10709505.33,17519851145.21,11219286.95,169251777.53,11230265.04,16916037826.83,10749236.1,162355489.37,10759167.73,16693732044.4,10525567.7,159170776.5,10534709.78,16742659593.75,10473647.18,158581102.09,10482155.35,16563104422.48,10279300.11,155833320.02,10287063.66,17213569780.41,10597644.85,160863235.5,10605034.57,17784264564.37,10915274.21,165771053.43,10922896.66,18103690663.37,11088357.22,168314481.8,11096077.6,18370641895.67,9089757.15,1033915.09,9099655.21,18253238957.49,9014317.66,168821959.81,9024133,14951063606.39,6957601.27,137922422.46,7377563.26,18240637855.11,7974252.1,167826145,8983453.41,18871590216.6,7809623,173169864.37,7821189.78,19255462446.58,7942823.07,175460335.19,7954583.92,11.6827091648328,-28.6383478755652,2.04379606664804,-28.606406223143
GPC,Transportation,Passenger cars (public and private),Passenger cars,Diesel,Diesel,VMT,91007294.35,75131.67,1027050.23,75198.33,103079349.62,85097.84,1165781.96,85173.33,115158578.77,94647.13,1305179.2,94698.54,122278921.75,100723.7,1388838.21,100795.78,132001246.54,108974.5,1502457.96,109071.18,151349440.2,125225.37,1726344.2,125357.85,157538265.13,130635.15,1800748.04,130795.58,166747525.43,138577.83,1910049.68,138771.48,178566729.74,148728.14,2049756.39,148961.05,187864595.01,156817.19,2161031.77,157089.09,206935151.69,173115.93,2385410.17,173445.02,206573212.46,162978.5,2381237.97,163462.49,203106591.09,169913.06,2339056.87,170236.07,198670402.17,132421.9,0,133271.87,189990459.15,126636.36,2185407.72,127449.2,149583613.43,93599.46,1719793.2,100343.52,175061869.53,102398.26,2011416.97,117434.82,173395652.3,95527.14,1990684.27,96585.92,177597929.7,97842.26,2042400.65,98926.7,95.1469175833157,30.227718883395,98.8608337101487,31.5543842529482
GPC,Transportation,Passenger cars (public and private),Passenger cars,CNG,Natural gas,VMT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GPC,Transportation,Passenger cars (public and private),Passenger cars,Electricity,Electricity,VMT,0,0,0,0,188770.47,18.96,492.72,18.98,379161.6,48.26,989.68,48.32,550757.29,62.92,1437.58,62.99,727182.05,73.02,1898.08,73.11,909382.11,93.21,2373.65,93.32,1063161.44,98.82,2775.04,98.93,1226104.25,119.77,3200.35,119.91,1406993.82,125.87,3672.51,126.01,1583482.92,155.17,4133.18,155.35,1813721.5,173.63,4734.14,173.83,51579462.06,4966.75,134631.68,4972.55,87437912.78,8370.34,228228.69,8380.1,124490113.08,10813.48,31108.78,10824.74,159596277.86,13862.88,416575.01,13877.32,159102026.52,15058.18,415284.93,13834.34,229628106.67,23272.9,599370.69,19966.77,274957546.26,30495.36,321924.58,30526.63,389504965.46,43220.36,454460.89,43264.21,100,100,100,100
GPC,Transportation,Passenger cars (public and private),Passenger cars,Other,Other,VMT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GPC,Transportation,Medium duty trucks (public and private),Medium duty trucks,Gasoline,Gasoline,VMT,366138397.18,268443.02,4127988.42,268847.53,377312392.3,276635.5,4229360.51,277052.35,384637399.34,286242.22,4286383.37,286717.09,378991645.92,279953.7,4198752.34,280397,358613889.62,262926.25,3949607.44,263322.44,360312238.21,262187.28,3944807.84,262561.96,352353140.55,254455.38,3834690.76,254798.92,348891803.72,250034.48,3774269.22,250352,358529907.74,254967.31,3855154.32,255270.34,368635664.86,259702.98,3939781.83,259992.22,380207020.16,266195.49,4038660.85,266467.49,368431079.25,311168.67,3912883.3,311448.09,358926809.81,251185.01,3811205.51,251441.56,352223905.92,428311.37,376003.09,428617.57,338529259.54,411586.05,3592995.94,411880.27,270466790.97,362287.86,2869851.89,329005.78,282977083.17,414034.44,3001702.88,344147.96,286088344.09,448039.12,3033685.89,448317.81,283718319.02,444150.17,3005925.51,444426.46,-22.5106349934342,65.4541697526723,-27.18183279206,65.3079944606521
GPC,Transportation,Medium duty trucks (public and private),Medium duty trucks,Diesel,Diesel,VMT,121490182.96,117119.82,1542980.94,117248.56,128247530.38,123634.09,1647675.99,123769.99,133886700.82,126146.29,1739841.69,126236.1,135065444.53,128731.81,1775060.39,128848.68,130817432.29,126111.55,1738517.98,126250.17,134173331.36,130811.91,1802902.77,130980.18,134253603.06,132356.24,1823798.12,132550.71,135989624.63,135552.74,1867464.03,135776.18,142928229.15,144029.85,1983864.52,144292.47,150273243.32,153071.58,2108025.97,153376.92,158455606.87,163137.61,2246238.52,163490.39,177742751.92,206004.2,2519774.68,206576.73,199047278.97,204928.67,2821914.43,205371.82,223365118.13,333234.93,440094.49,334525.75,244565718.75,364863.77,3467454.88,366277.11,222027267.41,355875.33,3147983.91,332522.1,263574052.22,451714.78,3737131.5,394745.19,302218535.14,545889.26,4285141.81,548365.86,293678805.58,530464.18,4164065.94,532870.8,141.730482599316,352.924347049031,169.871508587786,354.479611519323
GPC,Transportation,Medium duty trucks (public and private),Medium duty trucks,CNG,Natural gas,VMT,0,0,0,0,207512.59,122.29,2607.33,122.5,425842.58,264.46,5208.7,264.72,633521.19,383.38,7537.84,383.91,804560.59,474.13,9304.86,474.97,1000274.46,573.59,11235.05,574.86,1181682.19,658.87,12878.9,660.62,1374297.45,744.46,14520.29,746.8,1624978.9,854.48,16627.48,857.59,1892485.97,965.13,18734.19,969.16,2186329.15,1080.29,20914.57,1085.42,1927977.9,1474.2,18443.16,1873.44,1674253.88,827.27,16016.02,831.2,1422095.31,2076.65,13603.86,3119.79,1723036.78,2516.1,16585.01,3780,1319045.86,2232.03,12726.17,2893.72,1312449.12,2525.19,12698.99,2879.25,1249609.37,2645.75,12134.79,4183.68,1039662.15,2201.24,10125.28,3480.78,100,100,100,100
GPC,Transportation,Medium duty trucks (public and private),Medium duty trucks,Electricity,Electricity,VMT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,484245.59,144.55,3918.3,144.72,989858.74,293.75,8009.5,294.09,1532410.74,412.64,12399.59,413.07,2070892.22,557.63,16756.74,558.22,2252897.3,661,18229.45,607.28,3001733.65,943.1,24288.7,809.13,3771484.98,1296.71,30517.19,1298.04,10614688.92,3651.27,85889.37,3654.98,100,100,100,100
GPC,Transportation,Heavy duty trucks (public and private),Heavy duty trucks,Gasoline,Gasoline,VMT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11631113.42,19430.03,274910.36,19446.53,23568183.85,39449.87,557052.25,39484.43,36785344.18,61134.92,7420.63,61182.47,50206277.93,83439.66,1186664.19,83504.56,58688461.59,97368.56,1387147.16,97612.38,76756224.59,127124.67,1814192.71,127663.22,92327326.69,152693.54,2182227.75,152801.99,89828310.77,148560.6,2123159.34,148666.11,100,100,100,100
GPC,Transportation,Heavy duty trucks (public and private),Heavy duty trucks,Diesel,Diesel,VMT,593693069.88,1362756.54,18831026.43,1364045.94,607371546.54,1394153.97,19255375.55,1395473.07,618701473.75,1421051.56,19604877.48,1421812.26,592294563.6,1359972.91,18758843.22,1360980.21,542241514.98,1244655.21,17165098.16,1245832.87,594082417.64,1363222.47,18796934.74,1364792.63,592530666.76,1359235.06,18738684.21,1361080.29,581418892.16,1333326.57,18378295.12,1335411.13,583491345.84,1337659.03,18434791.03,1340025.94,567604819.93,1300831.01,17924105.4,1303400.91,581505836.89,1332269.8,18354096.18,1335176.61,580303708.67,1312176.61,18314755.92,1315313.51,575277507.45,1317814.61,18154679.51,1320690.12,585424779.42,1278874.05,3021894.25,1282650.93,585776210.25,1279566.64,18482850.11,1283345.6,535183019.85,1155371.4,16884955.76,1172431.65,569543192,1215003.21,17967296.73,1247624.51,573044386.48,1210275.38,18075934.3,1214537.56,470515589.18,990392.05,14759145.08,993875.61,-20.7476702945004,-27.3243590524247,-21.6232575804419,-27.1376732370172
GPC,Transportation,Heavy duty trucks (public and private),Heavy duty trucks,CNG,Natural gas,VMT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,644655.11,1210.04,23623.19,1294.87,1306198.98,2423.44,47865.27,2431.76,2038686.31,3940.4,0,4865.17,2782465.5,5377.98,101962.61,6640.14,3252536.62,6347.02,119188.22,7761.93,4253843.88,8380.08,155880.83,10151.47,5116784.32,0,0,0,4977564.31,0,0,0,100,0,0,0
GPC,Transportation,Heavy duty trucks (public and private),Heavy duty trucks,Electricity,Electricity,VMT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,679590.47,440.37,13232.95,440.83,927510.28,601.02,18060.43,601.64,1084192.45,765.49,21111.33,703.28,1417955.36,1072.08,27610.35,919.78,1705594.77,0,0,0,1894752.86,195,4586.9,195.19,100,100,100,100
GPC,Transportation,Heavy duty trucks (public and private),Heavy duty trucks,Biofuel,Biofuel,VMT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,86727091.16,355.75,2731437.82,422.53,100,100,100,100
